Date and Time,Unix Timestamp,Temp ºC,Humidity %
28/08/2019 20:15:12,1567037712.5183964,26.8,57.4
28/08/2019 20:20:13,1567038013.2958648,26.7,57.4
28/08/2019 20:25:12,1567038312.91439,26.8,57.6
28/08/2019 20:30:12,1567038612.4150794,26.7,57.8
28/08/2019 20:35:12,1567038912.9023347,26.7,57.9
28/08/2019 20:40:12,1567039212.393516,26.7,58.2
28/08/2019 20:45:12,1567039512.4681926,26.7,59.0
28/08/2019 20:50:13,1567039813.1579762,26.8,58.4
28/08/2019 20:55:12,1567040112.8678741,27.0,59.4
28/08/2019 21:00:12,1567040412.4810238,27.2,58.2
28/08/2019 21:05:12,1567040712.3749819,27.2,59.4
28/08/2019 21:10:13,1567041013.2180417,27.3,59.6
28/08/2019 21:15:13,1567041313.170701,27.3,58.3
28/08/2019 21:20:12,1567041612.7284951,27.3,58.2
28/08/2019 21:25:12,1567041912.367561,27.4,58.1
28/08/2019 21:30:13,1567042213.1225986,27.4,58.8
28/08/2019 21:35:12,1567042512.9707835,27.3,59.0
28/08/2019 21:40:12,1567042812.774918,27.3,59.3
28/08/2019 21:45:12,1567043112.6673524,27.3,59.2
28/08/2019 21:50:13,1567043413.1800923,27.3,59.5
28/08/2019 21:55:13,1567043713.6863692,27.4,59.2
28/08/2019 22:00:13,1567044013.7863233,27.4,58.9
28/08/2019 22:05:12,1567044312.91846,27.3,59.0
28/08/2019 22:10:13,1567044613.0953817,27.1,59.1
28/08/2019 22:15:13,1567044913.248249,27.0,59.2
28/08/2019 22:20:13,1567045213.6422648,26.9,59.3
28/08/2019 22:25:13,1567045513.8016331,26.8,59.6
28/08/2019 22:30:12,1567045812.546987,26.8,59.6
28/08/2019 22:35:13,1567046113.1413116,26.6,59.5
28/08/2019 22:40:13,1567046413.253656,26.6,59.6
28/08/2019 22:45:12,1567046712.754795,26.5,59.7
28/08/2019 22:50:13,1567047013.398208,26.5,59.7
28/08/2019 22:55:12,1567047312.9876902,26.5,59.6
28/08/2019 23:00:12,1567047612.541668,26.4,59.4
28/08/2019 23:05:13,1567047913.1964376,26.3,59.5
28/08/2019 23:10:12,1567048212.8187957,26.3,59.5
28/08/2019 23:15:13,1567048513.4485316,26.2,59.3
28/08/2019 23:20:13,1567048813.614877,26.2,58.8
28/08/2019 23:25:13,1567049113.2191632,26.1,58.1
28/08/2019 23:30:12,1567049412.8023436,26.0,58.4
28/08/2019 23:35:13,1567049713.420156,26.0,57.9
28/08/2019 23:40:13,1567050013.5356567,25.9,58.2
28/08/2019 23:45:12,1567050312.9688332,25.8,58.1
28/08/2019 23:50:13,1567050613.4048717,25.8,58.2
28/08/2019 23:55:12,1567050912.9699326,25.8,57.9
29/08/2019 00:00:13,1567051213.4894164,25.8,57.9
29/08/2019 00:05:13,1567051513.0431185,25.7,57.9
29/08/2019 00:10:12,1567051812.5220766,25.7,57.9
29/08/2019 00:15:13,1567052113.055527,25.6,58.0
29/08/2019 00:20:12,1567052412.7863116,25.6,58.5
29/08/2019 00:25:13,1567052713.5290327,25.6,58.3
29/08/2019 00:30:13,1567053013.0233676,25.6,58.5
29/08/2019 00:35:13,1567053313.1990273,25.6,58.5
29/08/2019 00:40:12,1567053612.8484426,25.5,58.2
29/08/2019 00:45:13,1567053913.404077,25.5,58.7
29/08/2019 00:50:12,1567054212.9441068,25.4,58.4
29/08/2019 00:55:13,1567054513.536996,25.4,57.7
29/08/2019 01:00:13,1567054813.061208,25.3,58.7
29/08/2019 01:05:12,1567055112.488986,25.3,59.1
29/08/2019 01:10:13,1567055413.2199914,25.2,59.3
29/08/2019 01:15:12,1567055712.8194618,25.2,59.4
29/08/2019 01:20:12,1567056012.6245553,25.2,59.3
29/08/2019 01:25:12,1567056312.8048735,25.2,58.8
29/08/2019 01:30:13,1567056613.3509643,25.1,59.1
29/08/2019 01:35:12,1567056912.7733996,25.0,59.4
29/08/2019 01:40:12,1567057212.8402536,25.1,59.3
29/08/2019 01:45:13,1567057513.4026856,25.0,59.7
29/08/2019 01:50:13,1567057813.1188703,25.0,59.6
29/08/2019 01:55:12,1567058112.7450023,25.0,59.7
29/08/2019 02:00:13,1567058413.3921967,24.9,58.6
29/08/2019 02:05:12,1567058712.967451,24.8,59.8
29/08/2019 02:10:13,1567059013.4770746,24.8,59.2
29/08/2019 02:15:12,1567059312.9604983,24.7,59.6
29/08/2019 02:20:13,1567059613.3201935,24.7,60.0
29/08/2019 02:25:12,1567059912.8476636,24.7,59.7
29/08/2019 02:30:13,1567060213.4902592,24.7,59.9
29/08/2019 02:35:13,1567060513.0819907,24.6,59.1
29/08/2019 02:40:12,1567060812.5229998,24.6,59.6
29/08/2019 02:45:12,1567061112.605956,24.6,59.3
29/08/2019 02:50:13,1567061413.1321342,24.5,59.7
29/08/2019 02:55:12,1567061712.5862157,24.4,59.9
29/08/2019 03:00:13,1567062013.1639943,24.4,60.1
29/08/2019 03:05:12,1567062312.6460378,24.4,60.3
29/08/2019 03:10:13,1567062613.2705827,24.4,59.6
29/08/2019 03:15:12,1567062912.8259835,24.4,60.0
29/08/2019 03:20:12,1567063212.582053,24.3,60.3
29/08/2019 03:25:13,1567063513.2131808,24.3,60.4
29/08/2019 03:30:13,1567063813.280714,24.3,60.4
29/08/2019 03:35:13,1567064113.3546631,24.3,60.6
29/08/2019 03:40:12,1567064412.904474,24.3,60.7
29/08/2019 03:45:12,1567064712.9461462,24.2,60.4
29/08/2019 03:50:13,1567065013.4526625,24.2,60.8
29/08/2019 03:55:13,1567065313.0163727,24.2,60.5
29/08/2019 04:00:12,1567065612.7271771,24.2,60.2
29/08/2019 04:05:13,1567065913.2690232,24.1,60.8
29/08/2019 04:10:12,1567066212.8076994,24.1,60.2
29/08/2019 04:15:13,1567066513.3877203,24.1,60.7
29/08/2019 04:20:13,1567066813.1661239,24.1,60.5
29/08/2019 04:25:12,1567067112.6610813,24.0,60.9
29/08/2019 04:30:13,1567067413.215314,24.0,61.0
29/08/2019 04:35:13,1567067713.2298925,24.0,61.2
29/08/2019 04:40:12,1567068012.7674158,24.0,60.7
29/08/2019 04:45:13,1567068313.4552126,23.9,59.8
29/08/2019 04:50:12,1567068612.911358,23.9,61.0
29/08/2019 04:55:13,1567068913.4664779,23.8,61.0
29/08/2019 05:00:13,1567069213.1348357,23.8,61.1
29/08/2019 05:05:12,1567069512.6522813,23.8,61.4
29/08/2019 05:10:13,1567069813.1115386,23.8,61.3
29/08/2019 05:15:12,1567070112.6176288,23.8,61.7
29/08/2019 05:20:13,1567070413.4688709,23.8,62.1
29/08/2019 05:25:13,1567070713.0552473,23.7,62.2
29/08/2019 05:30:13,1567071013.1331453,23.8,62.2
29/08/2019 05:35:13,1567071313.1850116,23.7,61.7
29/08/2019 05:40:12,1567071612.717969,23.7,62.0
29/08/2019 05:45:13,1567071913.2205963,23.7,62.2
29/08/2019 05:50:12,1567072212.908478,23.7,61.7
29/08/2019 05:55:13,1567072513.608751,23.7,62.0
29/08/2019 06:00:13,1567072813.1168876,23.6,62.3
29/08/2019 06:05:12,1567073112.6772265,23.6,62.8
29/08/2019 06:10:13,1567073413.3798134,23.6,62.5
29/08/2019 06:15:13,1567073713.0034423,23.6,62.6
29/08/2019 06:20:12,1567074012.7281134,23.5,61.4
29/08/2019 06:25:14,1567074314.598422,23.4,62.1
29/08/2019 06:30:13,1567074613.2258642,23.4,61.7
29/08/2019 06:35:12,1567074912.851471,23.4,62.7
29/08/2019 06:40:13,1567075213.5321538,23.4,63.6
29/08/2019 06:45:13,1567075513.1522012,23.4,64.0
29/08/2019 06:50:12,1567075812.827453,23.4,64.1
29/08/2019 06:55:13,1567076113.436041,23.4,63.8
29/08/2019 07:00:13,1567076413.0996628,23.4,63.6
29/08/2019 07:05:12,1567076712.6947947,23.4,63.4
29/08/2019 07:10:13,1567077013.3776338,23.4,63.2
29/08/2019 07:15:12,1567077312.976097,23.3,63.2
29/08/2019 07:20:12,1567077612.7703438,23.3,63.0
29/08/2019 07:25:13,1567077913.3874977,23.3,62.6
29/08/2019 07:30:13,1567078213.0224023,23.5,61.7
29/08/2019 07:35:12,1567078512.6615388,23.4,62.0
29/08/2019 07:40:12,1567078812.7341895,23.4,61.8
29/08/2019 07:45:13,1567079113.3345158,23.4,61.3
29/08/2019 07:50:12,1567079412.813761,23.4,60.7
29/08/2019 07:55:13,1567079713.4223137,23.4,61.4
29/08/2019 08:00:12,1567080012.963752,23.6,61.2
29/08/2019 08:05:13,1567080313.4786613,23.8,61.5
29/08/2019 08:10:13,1567080613.11843,24.0,63.2
